"purchase_month","total_orders","total_prise","avg_check"
"2016-09-01",7,267.36,38.19
"2016-10-01",379,49507.66,130.63
"2016-12-01",1,10.9,10.9
"2017-01-01",966,120312.87,124.55
"2017-02-01",1998,247303.02,123.78
"2017-03-01",3041,374344.3,123.1
"2017-04-01",2697,359927.23,133.45
"2017-05-01",4176,506071.14,121.19
"2017-06-01",3611,433038.6,119.92
"2017-07-01",4576,498031.48,108.84
"2017-08-01",4948,573971.68,116.0
"2017-09-01",4873,624401.69,128.13
"2017-10-01",5385,664219.43,123.35
"2017-11-01",8758,1010271.37,115.35
"2017-12-01",6357,743914.17,117.02
"2018-01-01",8257,950030.36,115.06
"2018-02-01",7706,844178.71,109.55
"2018-03-01",8240,983213.44,119.32
"2018-04-01",7980,996647.75,124.89
"2018-05-01",7945,996517.68,125.43
"2018-06-01",7085,865124.31,122.11
"2018-07-01",7111,895507.22,125.93
"2018-08-01",7308,854686.33,116.95
"2018-09-01",16,145.0,9.06
"2018-10-01",4,,
